appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop
3,Brandt (2013),mt,Gender: Male,-0.71,0.07,0.00,-0.85,-0.58,779,0.25
3,Brandt (2013),mt,Gender: Female,-0.83,0.07,0.00,-0.96,-0.70,793,0.25
4,Caprariello and Reis (2013),original,Age: 18 - 39,-0.42,0.28,0.14,-0.98,0.14,117,0.15
4,Caprariello and Reis (2013),original,Age: 40 - 59,-0.15,0.23,0.52,-0.62,0.31,150,0.19
4,Caprariello and Reis (2013),original,Age: More than 60,-0.07,0.20,0.71,-0.47,0.32,132,0.17
4,Caprariello and Reis (2013),original,Party ID: Democrat,-0.49,0.21,0.02,-0.91,-0.06,197,0.25
4,Caprariello and Reis (2013),original,Party ID: Independent,0.00,0.43,1.00,-0.87,0.87,46,0.06
4,Caprariello and Reis (2013),original,Party ID: Republican,0.05,0.21,0.80,-0.36,0.47,156,0.20
4,Caprariello and Reis (2013),original,Race: White,-0.29,0.16,0.07,-0.61,0.03,298,0.37
4,Caprariello and Reis (2013),original,Race: Nonwhite,-0.13,0.30,0.68,-0.73,0.48,101,0.13
4,Caprariello and Reis (2013),original,Education: Less than College,-0.09,0.18,0.62,-0.43,0.26,258,0.32
4,Caprariello and Reis (2013),original,Education: College,-0.49,0.30,0.11,-1.09,0.11,79,0.10
4,Caprariello and Reis (2013),original,Education: Graduate School,-0.77,0.36,0.04,-1.50,-0.05,62,0.08
4,Caprariello and Reis (2013),original,Gender: Male,-0.31,0.19,0.12,-0.69,0.08,213,0.27
4,Caprariello and Reis (2013),original,Gender: Female,-0.17,0.22,0.44,-0.60,0.26,186,0.23
4,Caprariello and Reis (2013),original,Ideology: Liberal,-0.58,0.30,0.06,-1.18,0.01,114,0.14
4,Caprariello and Reis (2013),original,Ideology: Moderate,-0.13,0.25,0.59,-0.62,0.36,136,0.17
4,Caprariello and Reis (2013),original,Ideology: Conservative,-0.11,0.21,0.58,-0.52,0.30,149,0.19
4,Caprariello and Reis (2013),mt,Age: 18 - 39,-0.14,0.06,0.02,-0.26,-0.02,994,0.39
4,Caprariello and Reis (2013),mt,Age: 40 - 59,-0.07,0.13,0.61,-0.32,0.18,241,0.09
4,Caprariello and Reis (2013),mt,Age: More than 60,-0.19,0.29,0.50,-0.78,0.39,47,0.02
4,Caprariello and Reis (2013),mt,Party ID: Democrat,-0.08,0.07,0.26,-0.21,0.06,796,0.31
4,Caprariello and Reis (2013),mt,Party ID: Independent,-0.24,0.16,0.15,-0.56,0.09,161,0.06
4,Caprariello and Reis (2013),mt,Party ID: Republican,-0.19,0.11,0.08,-0.40,0.02,325,0.13
4,Caprariello and Reis (2013),mt,Race: White,-0.15,0.06,0.02,-0.27,-0.03,969,0.38
4,Caprariello and Reis (2013),mt,Race: Nonwhite,-0.06,0.12,0.59,-0.30,0.17,313,0.12
4,Caprariello and Reis (2013),mt,Education: Less than College,-0.15,0.08,0.05,-0.30,-0.00,705,0.27
4,Caprariello and Reis (2013),mt,Education: College,-0.07,0.09,0.42,-0.24,0.10,446,0.17
4,Caprariello and Reis (2013),mt,Education: Graduate School,-0.18,0.18,0.30,-0.53,0.16,131,0.05
4,Caprariello and Reis (2013),mt,Gender: Male,-0.06,0.08,0.43,-0.21,0.09,616,0.24
4,Caprariello and Reis (2013),mt,Gender: Female,-0.19,0.08,0.01,-0.34,-0.04,666,0.26
4,Caprariello and Reis (2013),mt,Ideology: Liberal,-0.07,0.07,0.32,-0.21,0.07,721,0.28
4,Caprariello and Reis (2013),mt,Ideology: Moderate,-0.28,0.12,0.02,-0.51,-0.05,299,0.12
