appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop
18,Nicholson (2012),mt,Education: Graduate School,0.08,0.14,0.60,-0.21,0.36,155,0.05
18,Nicholson (2012),mt,Gender: Male,0.12,0.08,0.13,-0.04,0.28,637,0.19
18,Nicholson (2012),mt,Gender: Female,0.08,0.10,0.42,-0.12,0.27,460,0.14
19,Parmer (2011),original,Age: 18 - 39,0.19,0.17,0.27,-0.15,0.52,170,0.16
19,Parmer (2011),original,Age: 40 - 59,0.02,0.18,0.92,-0.33,0.36,202,0.19
19,Parmer (2011),original,Age: More than 60,-0.28,0.19,0.14,-0.65,0.10,147,0.14
19,Parmer (2011),original,Party ID: Democrat,-0.00,0.13,0.99,-0.25,0.25,267,0.26
19,Parmer (2011),original,Party ID: Independent,0.50,0.78,0.52,-1.13,2.13,20,0.02
19,Parmer (2011),original,Party ID: Republican,-0.01,0.17,0.96,-0.33,0.32,232,0.22
19,Parmer (2011),original,Race: White,-0.08,0.12,0.53,-0.32,0.16,373,0.36
19,Parmer (2011),original,Race: Nonwhite,0.20,0.19,0.31,-0.18,0.58,146,0.14
19,Parmer (2011),original,Education: Less than College,-0.04,0.13,0.74,-0.30,0.22,367,0.35
19,Parmer (2011),original,Education: College,0.10,0.18,0.60,-0.27,0.46,88,0.08
19,Parmer (2011),original,Education: Graduate School,0.24,0.18,0.18,-0.11,0.60,64,0.06
19,Parmer (2011),original,Gender: Male,-0.10,0.12,0.37,-0.33,0.12,271,0.26
19,Parmer (2011),original,Gender: Female,0.12,0.17,0.48,-0.21,0.45,248,0.24
19,Parmer (2011),original,Ideology: Liberal,0.29,0.17,0.09,-0.04,0.63,144,0.14
19,Parmer (2011),original,Ideology: Moderate,-0.04,0.19,0.85,-0.42,0.35,166,0.16
19,Parmer (2011),original,Ideology: Conservative,-0.16,0.16,0.32,-0.48,0.16,209,0.20
19,Parmer (2011),mt,Age: 18 - 39,-0.03,0.04,0.45,-0.12,0.05,1563,0.37
19,Parmer (2011),mt,Age: 40 - 59,-0.04,0.09,0.70,-0.22,0.14,438,0.10
19,Parmer (2011),mt,Age: More than 60,-0.32,0.21,0.14,-0.74,0.10,86,0.02
19,Parmer (2011),mt,Party ID: Democrat,0.01,0.05,0.85,-0.08,0.10,1295,0.31
19,Parmer (2011),mt,Party ID: Independent,-0.12,0.14,0.40,-0.39,0.16,283,0.07
19,Parmer (2011),mt,Party ID: Republican,-0.11,0.08,0.16,-0.27,0.05,509,0.12
19,Parmer (2011),mt,Race: White,-0.07,0.04,0.10,-0.16,0.01,1623,0.39
19,Parmer (2011),mt,Race: Nonwhite,0.05,0.09,0.56,-0.12,0.22,464,0.11
19,Parmer (2011),mt,Education: Less than College,-0.09,0.06,0.12,-0.21,0.02,1100,0.26
19,Parmer (2011),mt,Education: College,0.06,0.06,0.30,-0.06,0.18,718,0.17
19,Parmer (2011),mt,Education: Graduate School,-0.14,0.09,0.10,-0.31,0.03,269,0.06
19,Parmer (2011),mt,Gender: Male,-0.06,0.06,0.26,-0.17,0.05,998,0.24
19,Parmer (2011),mt,Gender: Female,-0.03,0.06,0.62,-0.14,0.08,1089,0.26
19,Parmer (2011),mt,Ideology: Liberal,0.01,0.05,0.84,-0.08,0.10,1146,0.27
19,Parmer (2011),mt,Ideology: Moderate,-0.04,0.09,0.65,-0.22,0.14,487,0.12
19,Parmer (2011),mt,Ideology: Conservative,-0.16,0.09,0.07,-0.34,0.01,454,0.11
20,Pedulla (2014),original,Age: 18 - 39,0.20,0.21,0.32,-0.21,0.61,79,0.21
20,Pedulla (2014),original,Age: 40 - 59,-0.13,0.25,0.61,-0.63,0.37,105,0.29
20,Pedulla (2014),original,Party ID: Democrat,0.26,0.16,0.11,-0.06,0.58,147,0.27
20,Pedulla (2014),original,Party ID: Independent,-2.02,0.75,0.07,-4.41,0.37,5,0.01
20,Pedulla (2014),original,Party ID: Republican,-0.09,0.24,0.71,-0.56,0.38,122,0.22
20,Pedulla (2014),original,Race: White,0.01,0.17,0.95,-0.33,0.36,200,0.36
20,Pedulla (2014),original,Race: Nonwhite,0.21,0.22,0.33,-0.22,0.65,74,0.14
20,Pedulla (2014),original,Education: Less than College,0.09,0.17,0.57,-0.23,0.42,181,0.33
20,Pedulla (2014),original,Education: College,-0.09,0.32,0.77,-0.74,0.55,68,0.12
20,Pedulla (2014),original,Education: Graduate School,0.30,0.31,0.35,-0.34,0.94,25,0.05
20,Pedulla (2014),original,Gender: Male,0.11,0.20,0.60,-0.30,0.51,137,0.25
20,Pedulla (2014),original,Gender: Female,0.05,0.18,0.79,-0.31,0.41,137,0.25
20,Pedulla (2014),original,Ideology: Liberal,0.45,0.27,0.10,-0.09,0.99,71,0.13
20,Pedulla (2014),original,Ideology: Moderate,0.06,0.18,0.74,-0.30,0.42,105,0.19
20,Pedulla (2014),original,Ideology: Conservative,-0.13,0.26,0.60,-0.65,0.38,98,0.18
20,Pedulla (2014),mt,Age: 18 - 39,0.04,0.09,0.68,-0.14,0.22,277,0.42
20,Pedulla (2014),mt,Age: 40 - 59,-0.01,0.14,0.92,-0.29,0.26,56,0.08
20,Pedulla (2014),mt,Party ID: Democrat,0.03,0.09,0.76,-0.15,0.20,213,0.31
20,Pedulla (2014),mt,Party ID: Independent,0.03,0.24,0.89,-0.45,0.51,49,0.07
20,Pedulla (2014),mt,Party ID: Republican,0.01,0.18,0.94,-0.34,0.36,84,0.12
20,Pedulla (2014),mt,Race: White,-0.04,0.08,0.63,-0.21,0.12,279,0.40
20,Pedulla (2014),mt,Race: Nonwhite,0.30,0.18,0.10,-0.06,0.67,67,0.10
20,Pedulla (2014),mt,Education: Less than College,-0.09,0.11,0.40,-0.30,0.12,190,0.27
20,Pedulla (2014),mt,Education: College,0.24,0.11,0.04,0.01,0.46,123,0.18
20,Pedulla (2014),mt,Education: Graduate School,-0.06,0.28,0.82,-0.63,0.51,33,0.05
20,Pedulla (2014),mt,Gender: Male,-0.08,0.12,0.50,-0.31,0.15,177,0.26
20,Pedulla (2014),mt,Gender: Female,0.13,0.10,0.18,-0.06,0.33,169,0.24
20,Pedulla (2014),mt,Ideology: Liberal,0.01,0.10,0.91,-0.18,0.20,204,0.29
20,Pedulla (2014),mt,Ideology: Moderate,0.11,0.21,0.61,-0.31,0.52,73,0.11
20,Pedulla (2014),mt,Ideology: Conservative,-0.07,0.13,0.61,-0.33,0.20,69,0.10
21,Peffley and Hurwitz (2007),original,Age: 18 - 39,-0.38,0.14,0.01,-0.66,-0.11,382,0.21
21,Peffley and Hurwitz (2007),original,Age: 40 - 59,-0.44,0.16,0.01,-0.75,-0.13,373,0.21
21,Peffley and Hurwitz (2007),original,Age: More than 60,-0.33,0.16,0.04,-0.64,-0.02,150,0.08
21,Peffley and Hurwitz (2007),original,Race: White,-0.31,0.08,0.00,-0.47,-0.15,470,0.26
21,Peffley and Hurwitz (2007),original,Race: Nonwhite,-0.37,0.15,0.01,-0.66,-0.08,435,0.24
21,Peffley and Hurwitz (2007),original,Education: Less than College,-0.48,0.11,0.00,-0.70,-0.27,636,0.35
21,Peffley and Hurwitz (2007),original,Education: College,-0.40,0.18,0.03,-0.76,-0.04,193,0.11
21,Peffley and Hurwitz (2007),original,Education: Graduate School,0.16,0.28,0.57,-0.40,0.71,76,0.04
21,Peffley and Hurwitz (2007),original,Gender: Male,-0.48,0.15,0.00,-0.78,-0.18,353,0.20
21,Peffley and Hurwitz (2007),original,Gender: Female,-0.36,0.11,0.00,-0.59,-0.13,552,0.30
21,Peffley and Hurwitz (2007),original,Ideology: Liberal,-0.33,0.15,0.03,-0.63,-0.04,206,0.11
21,Peffley and Hurwitz (2007),original,Ideology: Moderate,-0.48,0.13,0.00,-0.74,-0.22,442,0.24
21,Peffley and Hurwitz (2007),original,Ideology: Conservative,-0.34,0.19,0.08,-0.72,0.04,257,0.14
21,Peffley and Hurwitz (2007),mt,Age: 18 - 39,-0.11,0.05,0.04,-0.22,-0.01,956,0.37
21,Peffley and Hurwitz (2007),mt,Age: 40 - 59,-0.05,0.11,0.66,-0.27,0.17,268,0.10
21,Peffley and Hurwitz (2007),mt,Age: More than 60,-0.13,0.23,0.58,-0.59,0.33,61,0.02
21,Peffley and Hurwitz (2007),mt,Race: White,-0.08,0.06,0.17,-0.20,0.04,875,0.34
21,Peffley and Hurwitz (2007),mt,Race: Nonwhite,-0.15,0.08,0.05,-0.30,0.00,410,0.16
21,Peffley and Hurwitz (2007),mt,Education: Less than College,-0.17,0.07,0.02,-0.32,-0.02,535,0.21
21,Peffley and Hurwitz (2007),mt,Education: College,-0.10,0.07,0.18,-0.23,0.04,569,0.22
21,Peffley and Hurwitz (2007),mt,Education: Graduate School,0.04,0.13,0.74,-0.21,0.30,181,0.07
21,Peffley and Hurwitz (2007),mt,Gender: Male,-0.16,0.06,0.01,-0.29,-0.04,737,0.29
21,Peffley and Hurwitz (2007),mt,Gender: Female,-0.02,0.07,0.82,-0.16,0.13,548,0.21
21,Peffley and Hurwitz (2007),mt,Ideology: Liberal,-0.12,0.07,0.09,-0.26,0.02,574,0.22
21,Peffley and Hurwitz (2007),mt,Ideology: Moderate,-0.04,0.07,0.58,-0.18,0.10,456,0.18
21,Peffley and Hurwitz (2007),mt,Ideology: Conservative,-0.14,0.11,0.18,-0.35,0.07,255,0.10
22,Piazza (2015),original,Age: 18 - 39,0.22,0.20,0.27,-0.17,0.61,139,0.16
22,Piazza (2015),original,Age: 40 - 59,-0.25,0.18,0.15,-0.60,0.10,173,0.20
22,Piazza (2015),original,Age: More than 60,0.06,0.21,0.77,-0.35,0.47,131,0.15
22,Piazza (2015),original,Party ID: Democrat,0.23,0.14,0.10,-0.04,0.50,236,0.27
22,Piazza (2015),original,Party ID: Independent,-0.25,0.67,0.71,-1.77,1.26,11,0.01
22,Piazza (2015),original,Party ID: Republican,-0.23,0.18,0.20,-0.58,0.12,196,0.22
22,Piazza (2015),original,Race: White,0.04,0.13,0.76,-0.22,0.30,336,0.38
22,Piazza (2015),original,Race: Nonwhite,-0.04,0.21,0.86,-0.46,0.38,107,0.12
22,Piazza (2015),original,Education: Less than College,-0.03,0.13,0.85,-0.29,0.24,299,0.34
22,Piazza (2015),original,Education: College,0.22,0.24,0.36,-0.25,0.70,88,0.10
22,Piazza (2015),original,Education: Graduate School,-0.08,0.30,0.79,-0.68,0.52,56,0.06
22,Piazza (2015),original,Gender: Male,-0.16,0.17,0.36,-0.49,0.18,226,0.26
22,Piazza (2015),original,Gender: Female,0.17,0.15,0.24,-0.11,0.46,217,0.24
22,Piazza (2015),original,Ideology: Liberal,0.34,0.20,0.09,-0.05,0.74,122,0.14
22,Piazza (2015),original,Ideology: Moderate,-0.06,0.17,0.74,-0.40,0.29,152,0.17
22,Piazza (2015),original,Ideology: Conservative,-0.07,0.20,0.74,-0.46,0.33,169,0.19
22,Piazza (2015),mt,Age: 18 - 39,-0.11,0.08,0.19,-0.26,0.05,651,0.38
22,Piazza (2015),mt,Age: 40 - 59,0.14,0.14,0.33,-0.14,0.43,187,0.11
22,Piazza (2015),mt,Age: More than 60,0.44,0.40,0.30,-0.41,1.28,21,0.01
22,Piazza (2015),mt,Party ID: Democrat,-0.07,0.08,0.41,-0.23,0.09,549,0.32
22,Piazza (2015),mt,Party ID: Independent,0.10,0.22,0.66,-0.35,0.54,99,0.06
22,Piazza (2015),mt,Party ID: Republican,0.04,0.14,0.80,-0.24,0.32,211,0.12
22,Piazza (2015),mt,Race: White,0.03,0.08,0.75,-0.13,0.18,653,0.38
22,Piazza (2015),mt,Race: Nonwhite,-0.22,0.13,0.10,-0.49,0.04,206,0.12
22,Piazza (2015),mt,Education: Less than College,-0.04,0.10,0.65,-0.23,0.15,467,0.27
22,Piazza (2015),mt,Education: College,-0.01,0.11,0.95,-0.23,0.21,294,0.17
22,Piazza (2015),mt,Education: Graduate School,-0.11,0.21,0.60,-0.52,0.30,98,0.06
22,Piazza (2015),mt,Gender: Male,-0.12,0.10,0.23,-0.32,0.08,448,0.26
22,Piazza (2015),mt,Gender: Female,0.06,0.09,0.52,-0.12,0.24,411,0.24
22,Piazza (2015),mt,Ideology: Liberal,-0.16,0.09,0.06,-0.33,0.01,486,0.28
22,Piazza (2015),mt,Ideology: Moderate,0.11,0.15,0.47,-0.19,0.40,187,0.11
22,Piazza (2015),mt,Ideology: Conservative,0.12,0.15,0.40,-0.17,0.42,186,0.11
23,Shafer (2017),original,Age: 18 - 39,-0.25,0.12,0.03,-0.49,-0.02,294,0.17
23,Shafer (2017),original,Age: 40 - 59,-0.06,0.15,0.69,-0.35,0.23,346,0.20
23,Shafer (2017),original,Age: More than 60,-0.08,0.15,0.61,-0.37,0.22,230,0.13
23,Shafer (2017),original,Party ID: Democrat,-0.16,0.12,0.18,-0.38,0.07,457,0.26
23,Shafer (2017),original,Party ID: Independent,-0.61,0.42,0.16,-1.48,0.26,28,0.02
23,Shafer (2017),original,Party ID: Republican,-0.07,0.11,0.49,-0.29,0.14,385,0.22
23,Shafer (2017),original,Race: White,-0.17,0.08,0.04,-0.34,-0.01,648,0.37
23,Shafer (2017),original,Race: Nonwhite,-0.07,0.18,0.69,-0.42,0.28,222,0.13
23,Shafer (2017),original,Education: Less than College,-0.07,0.09,0.44,-0.26,0.11,622,0.36
23,Shafer (2017),original,Education: College,-0.28,0.17,0.11,-0.62,0.06,170,0.10
23,Shafer (2017),original,Education: Graduate School,-0.37,0.28,0.20,-0.93,0.19,78,0.04
23,Shafer (2017),original,Gender: Male,0.01,0.12,0.96,-0.23,0.25,426,0.24
23,Shafer (2017),original,Gender: Female,-0.27,0.10,0.01,-0.48,-0.07,444,0.26
23,Shafer (2017),original,Ideology: Liberal,-0.14,0.17,0.42,-0.47,0.19,231,0.13
23,Shafer (2017),original,Ideology: Moderate,-0.12,0.14,0.41,-0.39,0.16,316,0.18
23,Shafer (2017),original,Ideology: Conservative,-0.15,0.11,0.16,-0.37,0.06,323,0.19
23,Shafer (2017),mt,Age: 18 - 39,-0.05,0.06,0.41,-0.18,0.07,649,0.39
23,Shafer (2017),mt,Age: 40 - 59,-0.02,0.14,0.91,-0.29,0.26,159,0.09
23,Shafer (2017),mt,Age: More than 60,-0.34,0.32,0.30,-1.01,0.32,32,0.02
23,Shafer (2017),mt,Party ID: Democrat,-0.06,0.07,0.38,-0.21,0.08,523,0.31
23,Shafer (2017),mt,Party ID: Independent,0.03,0.17,0.85,-0.30,0.36,124,0.07
23,Shafer (2017),mt,Party ID: Republican,-0.07,0.11,0.56,-0.29,0.16,193,0.11
23,Shafer (2017),mt,Race: White,0.01,0.07,0.83,-0.11,0.14,637,0.38
23,Shafer (2017),mt,Race: Nonwhite,-0.26,0.13,0.04,-0.51,-0.01,203,0.12
23,Shafer (2017),mt,Education: Less than College,-0.05,0.08,0.57,-0.21,0.11,457,0.27
23,Shafer (2017),mt,Education: College,-0.05,0.09,0.56,-0.23,0.13,293,0.17
23,Shafer (2017),mt,Education: Graduate School,-0.07,0.18,0.70,-0.42,0.28,90,0.05
23,Shafer (2017),mt,Gender: Male,-0.01,0.08,0.92,-0.16,0.14,431,0.26
23,Shafer (2017),mt,Gender: Female,-0.10,0.09,0.25,-0.28,0.07,409,0.24
23,Shafer (2017),mt,Ideology: Liberal,-0.09,0.08,0.27,-0.24,0.07,459,0.27
23,Shafer (2017),mt,Ideology: Moderate,0.03,0.12,0.80,-0.21,0.27,212,0.13
23,Shafer (2017),mt,Ideology: Conservative,-0.06,0.13,0.61,-0.31,0.19,169,0.10
24,Thompson and Schlehofer (2014),original,Age: 18 - 39,-0.02,0.20,0.91,-0.41,0.37,124,0.15
24,Thompson and Schlehofer (2014),original,Age: 40 - 59,-0.23,0.20,0.24,-0.62,0.16,153,0.19
24,Thompson and Schlehofer (2014),original,Age: More than 60,-0.06,0.22,0.78,-0.50,0.38,123,0.15
24,Thompson and Schlehofer (2014),original,Party ID: Democrat,-0.08,0.17,0.65,-0.41,0.26,208,0.26
24,Thompson and Schlehofer (2014),original,Party ID: Independent,-0.71,0.53,0.21,-1.90,0.47,12,0.01
24,Thompson and Schlehofer (2014),original,Party ID: Republican,-0.12,0.17,0.48,-0.46,0.22,180,0.23
24,Thompson and Schlehofer (2014),original,Race: White,-0.07,0.13,0.58,-0.32,0.18,304,0.38
24,Thompson and Schlehofer (2014),original,Race: Nonwhite,-0.21,0.25,0.40,-0.71,0.29,96,0.12
24,Thompson and Schlehofer (2014),original,Education: Less than College,-0.07,0.15,0.64,-0.35,0.22,269,0.34
24,Thompson and Schlehofer (2014),original,Education: College,-0.10,0.26,0.71,-0.60,0.41,76,0.10
24,Thompson and Schlehofer (2014),original,Education: Graduate School,-0.24,0.30,0.42,-0.83,0.35,55,0.07
24,Thompson and Schlehofer (2014),original,Gender: Male,-0.07,0.17,0.70,-0.41,0.28,205,0.26
24,Thompson and Schlehofer (2014),original,Gender: Female,-0.15,0.16,0.36,-0.46,0.17,195,0.24
24,Thompson and Schlehofer (2014),original,Ideology: Liberal,0.03,0.25,0.91,-0.46,0.52,106,0.13
24,Thompson and Schlehofer (2014),original,Ideology: Moderate,-0.24,0.20,0.25,-0.64,0.17,139,0.17
24,Thompson and Schlehofer (2014),original,Ideology: Conservative,-0.07,0.17,0.67,-0.40,0.26,155,0.19
24,Thompson and Schlehofer (2014),mt,Age: 18 - 39,-0.05,0.06,0.39,-0.18,0.07,991,0.37
24,Thompson and Schlehofer (2014),mt,Age: 40 - 59,-0.00,0.12,0.99,-0.23,0.23,288,0.11
24,Thompson and Schlehofer (2014),mt,Age: More than 60,-0.33,0.24,0.17,-0.81,0.15,66,0.02
24,Thompson and Schlehofer (2014),mt,Party ID: Democrat,-0.09,0.07,0.18,-0.23,0.04,825,0.31
24,Thompson and Schlehofer (2014),mt,Party ID: Independent,-0.11,0.14,0.43,-0.38,0.17,182,0.07
24,Thompson and Schlehofer (2014),mt,Party ID: Republican,-0.03,0.11,0.76,-0.24,0.18,338,0.13
24,Thompson and Schlehofer (2014),mt,Race: White,-0.02,0.06,0.72,-0.14,0.10,1040,0.39
24,Thompson and Schlehofer (2014),mt,Race: Nonwhite,-0.14,0.12,0.24,-0.39,0.10,305,0.11
24,Thompson and Schlehofer (2014),mt,Education: Less than College,0.03,0.08,0.69,-0.12,0.18,711,0.26
24,Thompson and Schlehofer (2014),mt,Education: College,-0.14,0.09,0.12,-0.32,0.04,443,0.16
24,Thompson and Schlehofer (2014),mt,Education: Graduate School,-0.14,0.14,0.30,-0.42,0.13,191,0.07
24,Thompson and Schlehofer (2014),mt,Gender: Male,0.03,0.08,0.70,-0.12,0.19,608,0.23
24,Thompson and Schlehofer (2014),mt,Gender: Female,-0.11,0.07,0.12,-0.26,0.03,737,0.27
24,Thompson and Schlehofer (2014),mt,Ideology: Liberal,-0.04,0.07,0.61,-0.18,0.10,740,0.28
24,Thompson and Schlehofer (2014),mt,Ideology: Moderate,-0.10,0.12,0.39,-0.33,0.13,315,0.12
24,Thompson and Schlehofer (2014),mt,Ideology: Conservative,-0.08,0.12,0.50,-0.31,0.15,290,0.11
25,Transue (2007),original,Age: 18 - 39,0.19,0.16,0.23,-0.12,0.50,158,0.15
25,Transue (2007),original,Age: 40 - 59,0.19,0.16,0.26,-0.14,0.51,124,0.12
25,Transue (2007),original,Age: More than 60,0.15,0.26,0.56,-0.37,0.67,60,0.06
25,Transue (2007),original,Party ID: Democrat,0.16,0.14,0.26,-0.12,0.45,166,0.16
25,Transue (2007),original,Party ID: Independent,0.62,0.26,0.02,0.09,1.15,49,0.05
25,Transue (2007),original,Party ID: Republican,0.02,0.18,0.93,-0.33,0.36,127,0.12
25,Transue (2007),original,Race: White,0.18,0.10,0.09,-0.03,0.38,344,0.33
25,Transue (2007),mt,Age: 18 - 39,-0.08,0.11,0.50,-0.30,0.15,252,0.23
25,Transue (2007),mt,Age: 40 - 59,0.08,0.19,0.68,-0.31,0.47,89,0.08
25,Transue (2007),mt,Age: More than 60,-0.50,0.45,0.28,-1.44,0.43,23,0.02
25,Transue (2007),mt,Party ID: Democrat,0.09,0.11,0.43,-0.13,0.31,199,0.18
25,Transue (2007),mt,Party ID: Independent,-0.21,0.22,0.35,-0.66,0.23,72,0.07
25,Transue (2007),mt,Party ID: Republican,-0.11,0.19,0.56,-0.48,0.26,93,0.09
25,Transue (2007),mt,Race: White,-0.08,0.10,0.43,-0.26,0.11,366,0.33
26,Turaga (2010),original,Age: 18 - 39,0.12,0.20,0.57,-0.28,0.51,156,0.16
26,Turaga (2010),original,Age: 40 - 59,0.01,0.18,0.96,-0.34,0.36,190,0.19
26,Turaga (2010),original,Age: More than 60,0.30,0.18,0.09,-0.05,0.65,151,0.15
26,Turaga (2010),original,Party ID: Democrat,0.25,0.13,0.06,-0.01,0.51,270,0.27
26,Turaga (2010),original,Party ID: Independent,0.23,0.55,0.68,-0.90,1.36,26,0.03
26,Turaga (2010),original,Party ID: Republican,0.02,0.19,0.91,-0.36,0.41,201,0.20
26,Turaga (2010),original,Race: White,0.10,0.13,0.44,-0.16,0.36,378,0.38
26,Turaga (2010),original,Race: Nonwhite,0.16,0.19,0.40,-0.22,0.54,119,0.12
26,Turaga (2010),original,Education: Less than College,0.11,0.13,0.39,-0.14,0.37,358,0.36
26,Turaga (2010),original,Education: College,-0.01,0.26,0.98,-0.52,0.51,95,0.10
26,Turaga (2010),original,Education: Graduate School,0.52,0.36,0.15,-0.20,1.24,44,0.04
26,Turaga (2010),original,Gender: Male,0.16,0.15,0.28,-0.13,0.46,244,0.25
26,Turaga (2010),original,Gender: Female,0.08,0.16,0.59,-0.23,0.39,253,0.25
26,Turaga (2010),original,Ideology: Liberal,0.21,0.19,0.28,-0.17,0.58,136,0.14
26,Turaga (2010),original,Ideology: Moderate,0.24,0.16,0.14,-0.08,0.56,178,0.18
26,Turaga (2010),original,Ideology: Conservative,-0.02,0.20,0.94,-0.42,0.38,183,0.18
26,Turaga (2010),mt,Age: 18 - 39,0.31,0.10,0.00,0.12,0.51,519,0.38
26,Turaga (2010),mt,Age: 40 - 59,0.19,0.20,0.34,-0.21,0.59,130,0.10
26,Turaga (2010),mt,Age: More than 60,-0.79,0.46,0.09,-1.72,0.14,33,0.02
26,Turaga (2010),mt,Party ID: Democrat,0.30,0.11,0.01,0.08,0.52,413,0.30
26,Turaga (2010),mt,Party ID: Independent,0.31,0.26,0.23,-0.20,0.82,92,0.07
26,Turaga (2010),mt,Party ID: Republican,0.07,0.17,0.66,-0.26,0.40,177,0.13
26,Turaga (2010),mt,Race: White,0.22,0.10,0.02,0.03,0.41,534,0.39
26,Turaga (2010),mt,Race: Nonwhite,0.35,0.20,0.08,-0.04,0.74,148,0.11
26,Turaga (2010),mt,Education: Less than College,0.25,0.12,0.04,0.01,0.49,346,0.25
26,Turaga (2010),mt,Education: College,0.23,0.15,0.12,-0.06,0.53,242,0.18
26,Turaga (2010),mt,Education: Graduate School,0.27,0.26,0.29,-0.24,0.78,94,0.07
26,Turaga (2010),mt,Gender: Male,0.29,0.12,0.02,0.06,0.53,312,0.23
26,Turaga (2010),mt,Gender: Female,0.26,0.12,0.03,0.02,0.50,370,0.27
26,Turaga (2010),mt,Ideology: Liberal,0.35,0.12,0.00,0.12,0.57,375,0.27
26,Turaga (2010),mt,Ideology: Moderate,0.20,0.19,0.29,-0.18,0.58,153,0.11
26,Turaga (2010),mt,Ideology: Conservative,0.05,0.19,0.80,-0.32,0.42,154,0.11
27,Wallace (2011),original,Age: 18 - 39,-0.49,0.18,0.01,-0.86,-0.13,139,0.15
27,Wallace (2011),original,Age: 40 - 59,-0.76,0.15,0.00,-1.06,-0.46,181,0.19
27,Wallace (2011),original,Age: More than 60,-0.69,0.22,0.00,-1.11,-0.26,147,0.16
27,Wallace (2011),original,Party ID: Democrat,-0.44,0.15,0.00,-0.73,-0.15,235,0.25
27,Wallace (2011),original,Party ID: Independent,-0.30,0.25,0.26,-0.85,0.25,14,0.01
27,Wallace (2011),original,Party ID: Republican,-0.90,0.16,0.00,-1.20,-0.59,218,0.23
27,Wallace (2011),original,Race: White,-0.99,0.12,0.00,-1.22,-0.77,354,0.38
27,Wallace (2011),original,Race: Nonwhite,0.14,0.18,0.46,-0.23,0.50,113,0.12
27,Wallace (2011),original,Education: Less than College,-0.67,0.13,0.00,-0.93,-0.42,317,0.34
27,Wallace (2011),original,Education: College,-0.52,0.19,0.01,-0.90,-0.13,96,0.10
27,Wallace (2011),original,Education: Graduate School,-0.75,0.28,0.01,-1.30,-0.19,54,0.06
27,Wallace (2011),original,Gender: Male,-0.65,0.14,0.00,-0.92,-0.38,244,0.26
27,Wallace (2011),original,Gender: Female,-0.63,0.16,0.00,-0.94,-0.32,223,0.24
27,Wallace (2011),original,Ideology: Liberal,-0.45,0.23,0.05,-0.90,-0.01,108,0.12
27,Wallace (2011),original,Ideology: Moderate,-0.74,0.16,0.00,-1.05,-0.43,179,0.19
27,Wallace (2011),original,Ideology: Conservative,-0.63,0.18,0.00,-0.99,-0.27,180,0.19
27,Wallace (2011),mt,Age: 18 - 39,-1.14,0.11,0.00,-1.35,-0.92,340,0.37
27,Wallace (2011),mt,Age: 40 - 59,-1.08,0.20,0.00,-1.48,-0.69,98,0.11
27,Wallace (2011),mt,Age: More than 60,-1.21,0.63,0.08,-2.56,0.15,16,0.02
27,Wallace (2011),mt,Party ID: Democrat,-1.14,0.12,0.00,-1.38,-0.89,277,0.31
27,Wallace (2011),mt,Party ID: Independent,-1.13,0.29,0.00,-1.71,-0.56,59,0.06
27,Wallace (2011),mt,Party ID: Republican,-1.06,0.17,0.00,-1.39,-0.72,118,0.13
27,Wallace (2011),mt,Race: White,-1.20,0.11,0.00,-1.41,-0.98,336,0.37
27,Wallace (2011),mt,Race: Nonwhite,-0.88,0.19,0.00,-1.25,-0.50,118,0.13
27,Wallace (2011),mt,Education: Less than College,-1.07,0.13,0.00,-1.32,-0.81,271,0.30
27,Wallace (2011),mt,Education: College,-1.15,0.16,0.00,-1.46,-0.84,146,0.16
27,Wallace (2011),mt,Education: Graduate School,-1.29,0.28,0.00,-1.85,-0.73,37,0.04
27,Wallace (2011),mt,Gender: Male,-1.29,0.14,0.00,-1.56,-1.02,224,0.25
27,Wallace (2011),mt,Gender: Female,-0.93,0.13,0.00,-1.19,-0.67,230,0.25
27,Wallace (2011),mt,Ideology: Liberal,-1.10,0.13,0.00,-1.36,-0.83,252,0.28
27,Wallace (2011),mt,Ideology: Moderate,-1.10,0.19,0.00,-1.48,-0.72,101,0.11
27,Wallace (2011),mt,Ideology: Conservative,-1.17,0.19,0.00,-1.55,-0.79,101,0.11
