study_label,group_label,difference,estimate_mt,conf.low_mt,conf.high_mt,estimate_original,conf.low_original,conf.high_original
Johnston and Ballard (2016),Age: More than 60,Not Significant,0.2857412119498634,0.11482430802671416,0.45665811587301264,0.22971163816961984,0.06094803865683129,0.3984752376824084
Johnston and Ballard (2016),College,Not Significant,0.3891883188919584,0.3383131797669155,0.4400634580170013,0.29219443689512875,0.06983291762393129,0.5145559561663262
Johnston and Ballard (2016),Graduate School,Significant,0.39752128428261646,0.3063965077668821,0.4886460607983508,0.09177418136754256,-0.1997273082710855,0.38327567100617066
Johnston and Ballard (2016),Less than College,Significant,0.41302532898274447,0.36887564514984195,0.457175012815647,0.26626570348053225,0.16180823389985516,0.37072317306120933
Johnston and Ballard (2016),Men,Not Significant,0.36628639442385413,0.3205240362527835,0.4120487525949248,0.2660068062842436,0.13083444908952618,0.40117916347896104
Johnston and Ballard (2016),Women,Significant,0.44352755079918665,0.4006518455358865,0.4864032560624868,0.23718677850347292,0.11177587421437772,0.3625976827925681
Johnston and Ballard (2016),Conservative,Significant,0.4577276069585901,0.38886665872208126,0.526588555195099,0.22832454694521495,0.08313028739727374,0.3735188064931562
Johnston and Ballard (2016),Liberal,Not Significant,0.3855054722202971,0.3396199601517276,0.4313909842888666,0.30374937119177003,0.1152642344279912,0.4922345079555489
Johnston and Ballard (2016),Moderate,Significant,0.4007039931653192,0.34602896790735377,0.4553790184232846,0.22944814822711695,0.07876670969605276,0.3801295867581812
Johnston and Ballard (2016),Democrat,Significant,0.41160126005708825,0.37121612325121833,0.45198639686295816,0.2340229874971362,0.10233302399911837,0.3657129509951541
Johnston and Ballard (2016),Independent,Not Significant,0.3368149848135251,0.25722285276217083,0.4164071168648794,0.13865694151873495,-0.29572286572162143,0.5730367487590913
Johnston and Ballard (2016),Republican,Not Significant,0.42479873680000985,0.36172815253301693,0.4878693210670027,0.28349808541748067,0.14909556942516725,0.4179006014097941
Johnston and Ballard (2016),Nonwhite,Not Significant,0.42216145416865847,0.3571652169888043,0.4871576913485126,0.27453377395849626,0.08741177780520012,0.4616557701117924
Johnston and Ballard (2016),White,Significant,0.39854754168969936,0.36264477002822626,0.43445031335117246,0.23990060911043595,0.13730691706557424,0.34249430115529766
