appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop,n_deposit_formula,prop_deposit_formula
3,Brandt (2013),mt,Party ID: Independent,-0.7228607392929248,0.13804177362805858,4.679530166075914e-7,-0.9953126062313692,-0.4504088723544803,176,0.11195928753180662,176,0.05597964376590331
3,Brandt (2013),mt,Party ID: Republican,-0.7803765428817366,0.09595437775910576,6.629175411182771e-15,-0.9690693486999375,-0.5916837370635357,367,0.23346055979643765,367,0.11673027989821882
3,Brandt (2013),mt,Race: White,-0.809944869232351,0.05267651833948836,6.566564396629161e-49,-0.9132912249085042,-0.7065985135561977,1225,0.7792620865139949,1225,0.38963104325699743
3,Brandt (2013),mt,Race: Nonwhite,-0.6637290455466135,0.11271556672915412,9.2471891547887e-9,-0.8854252257152737,-0.4420328653779533,347,0.22073791348600508,347,0.11036895674300254
3,Brandt (2013),mt,Education: Less than College,-0.8098971739482571,0.06738585549367554,8.678265776165098e-31,-0.9421641325962168,-0.6776302153002973,831,0.5286259541984732,831,0.2643129770992366
3,Brandt (2013),mt,Education: College,-0.7753880684688951,0.07714686859395756,4.982683491984868e-22,-0.9269071708063056,-0.6238689661314847,586,0.3727735368956743,586,0.18638676844783714
3,Brandt (2013),mt,Education: Graduate School,-0.579992072143566,0.15239747248199395,2.03983678447378e-4,-0.8810670428102714,-0.2789171014768606,155,0.09860050890585242,155,0.04930025445292621
3,Brandt (2013),mt,Gender: Male,-0.7135347916261149,0.0674205011602706,1.5187248284416258e-24,-0.845882703905029,-0.5811868793472008,779,0.4955470737913486,779,0.2477735368956743
3,Brandt (2013),mt,Gender: Female,-0.8303602927337691,0.06842153349922862,3.334202943662794e-31,-0.9646695447299514,-0.6960510407375868,793,0.5044529262086515,793,0.2522264631043257
4,Caprariello and Reis (2013),original,Age: 18 - 39,-0.41774769151208224,0.28143614789858323,0.1404538517229838,-0.9752185356088312,0.1397231525846666,117,0.2932330827067669,117,0.14661654135338345
4,Caprariello and Reis (2013),original,Age: 40 - 59,-0.15142770178045514,0.23476103248014535,0.5199069498295541,-0.6153442586884558,0.31248885512754554,150,0.37593984962406013,150,0.18796992481203006
4,Caprariello and Reis (2013),original,Age: More than 60,-0.07330238537072883,0.19954535847401841,0.7139575445554347,-0.4680790125736263,0.32147424183216855,132,0.3308270676691729,132,0.16541353383458646
4,Caprariello and Reis (2013),original,Party ID: Democrat,-0.4871459650280838,0.21439816414934976,0.02416834191655583,-0.9099828929479478,-0.06430903710821989,197,0.49373433583959897,197,0.24686716791979949
4,Caprariello and Reis (2013),original,Party ID: Independent,4.418875555867592e-4,0.43324400655118694,0.999190807549674,-0.8727040350697771,0.8735878101809506,46,0.11528822055137844,46,0.05764411027568922
4,Caprariello and Reis (2013),original,Party ID: Republican,0.0527347482507759,0.21028590217029092,0.8023212401864427,-0.36268254030166747,0.46815203680321926,156,0.39097744360902253,156,0.19548872180451127
4,Caprariello and Reis (2013),original,Race: White,-0.2890596480957247,0.16123520279798456,0.07402866580728613,-0.6063722568608991,0.02825296066944971,298,0.7468671679197995,298,0.37343358395989973
4,Caprariello and Reis (2013),original,Race: Nonwhite,-0.1272793230657272,0.3041843807271012,0.67654037857572,-0.7308471277122581,0.4762884815808037,101,0.2531328320802005,101,0.12656641604010024
4,Caprariello and Reis (2013),original,Education: Less than College,-0.08674867957816632,0.17637456477005906,0.6232514660887598,-0.4340785047792294,0.2605811456228967,258,0.6466165413533834,258,0.3233082706766917
4,Caprariello and Reis (2013),original,Education: College,-0.49174955287213223,0.30132183512066946,0.10676822632017982,-1.0917579814826597,0.10825887573839504,79,0.19799498746867167,79,0.09899749373433583
4,Caprariello and Reis (2013),original,Education: Graduate School,-0.7749894559513979,0.3621155830012993,0.03641594809118623,-1.499328467946321,-0.05065044395647489,62,0.15538847117794485,62,0.07769423558897243
4,Caprariello and Reis (2013),original,Gender: Male,-0.3069150579379351,0.1942620261158988,0.11562710132651752,-0.6898580876621316,0.07602797178626142,213,0.5338345864661654,213,0.2669172932330827
4,Caprariello and Reis (2013),original,Gender: Female,-0.16952432473630047,0.21884315397375212,0.439547607667179,-0.6012888556354727,0.2622402061628718,186,0.46616541353383456,186,0.23308270676691728
4,Caprariello and Reis (2013),original,Ideology: Liberal,-0.5838669839971863,0.30151371716009995,0.05533185697212803,-1.1812777649767945,0.01354379698242203,114,0.2857142857142857,114,0.14285714285714285
4,Caprariello and Reis (2013),original,Ideology: Moderate,-0.133063620080539,0.24761554285627543,0.5918964731248157,-0.6228040188444045,0.3566767786833265,136,0.3408521303258145,136,0.17042606516290726
4,Caprariello and Reis (2013),original,Ideology: Conservative,-0.11386841625471368,0.2074762165607993,0.5839572593638832,-0.5238898262257442,0.29615299371631687,149,0.37343358395989973,149,0.18671679197994986
