study,study_label,covariate,group,estimate_mt,estimate_original,std.error_mt,std.error_original,conf.low_mt,conf.low_original,conf.high_mt,conf.high_original,p.value_mt,p.value_original,significant_mt,significant_original,group_label,est_diff_in_cates,std.error_diff_in_cates,li_diff_in_cates,ui_diff_in_cates,p_diff_in_cates,diff_in_cates_significant
gashS5,Gash and Murakami (2009),ideo,ideo_3_Moderate,-0.6379000786711879,-0.8565660878115634,0.1151345116333332,0.1855828339054115,-0.8644923606703669,-1.2227232303516946,-0.4113077966720089,-0.49040894527143214,6.70336137914162e-8,7.359829595946876e-6,1,1,Moderate,0.21866600914037548,0.21839630035650717,-0.20939073955837856,0.6467227578391295,0.3167132327966247,FALSE
gashS5,Gash and Murakami (2009),pid,pid_3_Democrat,-0.6520128392979373,-0.8916203624391269,0.06574031878527342,0.14866296410596325,-0.7810238113453623,-1.1843518207206558,-0.5230018672505123,-0.5988889041575981,3.846384357991961e-22,6.648180232901647e-9,1,1,Democrat,0.2396075231411896,0.16254988899030443,-0.07899025927980707,0.5582053055621863,0.14046670617135185,FALSE
gashS5,Gash and Murakami (2009),pid,pid_3_Independent,-1.0335583694038424,-1.6166180360153442,0.1590961532644116,0.5049413124565406,-1.3476850739812671,-2.7074774207996395,-0.7194316648264175,-0.5257586512310488,9.290834712409615e-10,0.006946215893708006,1,1,Independent,0.5830596666115018,0.5294122354166618,-0.4545883148051555,1.620707648028159,0.27075134192733646,FALSE
gashS5,Gash and Murakami (2009),pid,pid_3_Republican,-0.6065501646777774,-0.38354684386750904,0.10304468647325335,0.19801946197108888,-0.8091492855857189,-0.7738446830148303,-0.40395104376983604,0.006750995279812266,8.585194718463232e-9,0.05406005896547379,1,0,Republican,-0.2230033208102684,0.22322615153626288,-0.6605265778213436,0.21451993620080684,0.3177938331663199,FALSE
gashS5,Gash and Murakami (2009),white,white_0,-0.626168651454978,-0.8221342222718434,0.10574935061379705,0.2621074141734735,-0.8341269321637157,-1.3415695958703235,-0.41821037074624035,-0.30269884867336316,7.410458387105867e-9,0.0021928911451280703,1,1,Nonwhite,0.1959655708168654,0.28263620029986347,-0.35800138177086704,0.7499325234045978,0.48809046190464467,FALSE
gashS5,Gash and Murakami (2009),white,white_1,-0.6901971682920467,-0.6330747932883191,0.06122188426677115,0.1255015224253525,-0.8103160588049186,-0.8798350717779515,-0.5700782777791747,-0.3863145147986866,4.892322058585423e-28,7.048292255767077e-7,1,1,White,-0.05712237500372763,0.13963792910328907,-0.3308127160461742,0.21656796603871892,0.6824846791986172,FALSE
immigration,Brader (2005),age,age_3_18 - 39,0.3460234026975541,0.08939095004900816,0.06521607863380703,0.2288843495144682,0.21808266016753308,-0.3651280064921863,0.47396414522757513,0.5439099065902027,1.3183147272919119e-7,0.6970225254406778,1,0,Age: 18 - 39,0.25663245264854595,0.2379940805251932,-0.2098359451808327,0.7231008504779246,0.28089345699445933,FALSE
immigration,Brader (2005),age,age_3_40 - 59,0.25524147280342435,0.7209436724882035,0.12965112215481187,0.33084694395346476,2.581800984817195e-4,0.06493529872885939,0.5102247655083669,1.3769520462475475,0.04976973052798624,0.031560845886026485,1,1,Age: 40 - 59,-0.4657021996847791,0.3553436559154377,-1.162175765279037,0.23077136590947878,0.1900035896439554,FALSE
immigration,Brader (2005),age,age_3_More than 60,0.43026772114816975,0.5535740346653428,0.360572953455975,0.30041370887186497,-0.2926375251165106,-0.0447517208565168,1.1531729674128501,1.1518997901872026,0.23797269190007764,0.06927172704024874,0,0,Age: More than 60,-0.12330631351717308,0.4693199881127101,-1.043173490218085,0.7965608631837386,0.7927556158964085,FALSE
immigration,Brader (2005),educ,educ_3_College,0.3012982390820087,0.8333549479483336,0.09045184131694164,0.37963750398239193,0.12368362896423879,0.07284964156903506,0.4789128491997786,1.5938602543276321,9.144498605992306e-4,0.03231571120519641,1,1,College,-0.532056708866325,0.39026423103790314,-1.2969746017006152,0.23286118396796518,0.17278032750325162,FALSE
